Qiymet,Kategoriya,Mertebe,Otaq,Kupca,Seher
99 000,Köhnə tikili,3 / 5,2,var,"Bakı şəhəri, Moskva pr. 70"
160 000,Yeni tikili,11 / 16,3,var,"Bakı şəhəri, Qara Qarayev prospekti"
66 000,Yeni tikili,1 / 10,2,var,"Xırdalan şəhəri, Heydər Əliyev prospekti 240 Bina E"
175 000,Köhnə tikili,8 / 9,3,var,"Bakı şəhəri, Z.Xəlilov k.55"
250 000,Yeni tikili,14 / 17,3,var,"Bakı şəhəri, Faiq Yusifov küçəsi"
190 000,Yeni tikili,6 / 14,3,var,"Bakı şəhəri, Həsən Əliyev  k."
135 000,Yeni tikili,8 / 16,3,yoxdur,"Bakı şəhəri, Zərdabi pr."
250 000,Yeni tikili,12 / 20,3,var,"Bakı şəhəri, ул.Ханифа Аскерова 29"
145 000,Yeni tikili,8 / 19,3,yoxdur,"Bakı şəhəri, Gəncə prospekti 26"
185 000,Yeni tikili,16 / 17,3,var,"Bakı şəhəri, Məhəmməd Hadi küçəsi"
510 000,Yeni tikili,16 / 24,4,var,"Bakı şəhəri, Səməd Vurğun küç."
63 000,Yeni tikili,2 / 5,2,yoxdur,"Xırdalan şəhəri, Heydər Əliyev pr "
107 000,Köhnə tikili,8 / 9,2,var,"Bakı şəhəri, Ziya Bünyadov küçəsi"
90 000,Yeni tikili,1 / 11,1,var,"Bakı şəhəri, Kənar Dairəvi yol 1"
128 000,Yeni tikili,2 / 18,3,var,"Bakı şəhəri, Xudu Məmmədov küç."
285 000,Yeni tikili,13 / 22,3,var,"Bakı şəhəri, Bakixanov küçəsi"
461 000,Yeni tikili,5 / 7,5,yoxdur,"Bakı şəhəri, 1-ci fəvvarələr meydanı"
235 000,Yeni tikili,17 / 27,2,yoxdur,"Bakı şəhəri, Tbilisi pr."
